IssueType,Table,RecordID,RelatedRecordID,Detail
duplicate_account,dim_accounts,ACC-04759,ACC-01092,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04760,ACC-01712,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04761,ACC-00281,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04762,ACC-01140,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04763,ACC-04200,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04764,ACC-01523,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04765,ACC-01566,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04766,ACC-02141,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04767,ACC-03043,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04768,ACC-02500,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04769,ACC-00196,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04770,ACC-01854,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04771,ACC-02952,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04772,ACC-02620,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04773,ACC-01060,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04774,ACC-02896,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04775,ACC-04369,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04776,ACC-02456,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04777,ACC-04177,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04778,ACC-00791,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04779,ACC-02474,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04780,ACC-02929,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04781,ACC-02118,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04782,ACC-04079,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04783,ACC-04606,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04784,ACC-03299,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04785,ACC-03230,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04786,ACC-04608,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04787,ACC-04654,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04788,ACC-00519,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04789,ACC-04215,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04790,ACC-00429,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04791,ACC-04560,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04792,ACC-01191,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04793,ACC-02539,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04794,ACC-04205,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04795,ACC-02405,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04796,ACC-00458,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04797,ACC-03015,Same business as the related account; created again with a variant name
