ContactID,CustomerType,AccountID,FullName,Designation,IsDecisionMaker,Mobile,Email,City,OwnerUserID,CreatedOn
CON-000001,Business,ACC-00001,Sandeep Raju,Facilities Manager,False,9542256749,sandeep.raju@nammaretail.in,Bengaluru,USR-197,2024-01-19 14:00:24
CON-000002,Business,ACC-00001,Bharath Khan,Owner / Director,True,7002424799,bharath.khan@nammaretail.in,Bengaluru,USR-197,2024-01-27 19:32:20
CON-000003,Business,ACC-00001,Chetan Reddy,Facilities Manager,False,9606163653,chetan@nammaretail.in,Bengaluru,USR-197,2024-01-07 13:49:08
CON-000004,Business,ACC-00002,Vidya Desai,Operations Head,True,9881333529,,Mangalore,USR-198,2026-06-20 00:01:06
CON-000005,Business,ACC-00002,Ravi Jain,Facilities Manager,False,6894460167,ravi.jain@nammaretail.in,Mangalore,USR-198,2026-04-07 13:01:16
CON-000006,Business,ACC-00002,Ashwini Jain,Facilities Manager,False,9802039832,ashwini@nammaretail.in,Mangalore,USR-198,2026-06-10 09:14:08
CON-000007,Business,ACC-00003,Arjun Agarwal,Finance Controller,True,8324339820,arjun@nammaretail.in,Mangaluru,USR-197,2025-04-22 23:13:59
CON-000008,Business,ACC-00004,Sneha Hiremath,Transport Manager,False,7564215811,sneha@yashasemployeetranspor.in,Bengaluru,USR-208,2022-09-27 12:34:14
CON-000009,Business,ACC-00005,Swathi Prasad,Transport Manager,False,6039591610,swathi.prasad@yashasemployeetranspor.in,Mangaluru,USR-206,2024-03-29 04:30:57
CON-000010,Business,ACC-00005,Divya Rao,Transport Manager,False,7855293843,divya.rao@yashasemployeetranspor.in,Mangaluru,USR-206,2024-04-09 16:37:06
CON-000011,Business,ACC-00006,Deepa Krishnan,Admin Head,False,9060677960,deepa.krishnan@yashasemployeetranspor.in,Belagavi,USR-206,2023-03-03 01:13:59
CON-000012,Business,ACC-00007,Akash Shenoy,Operations Head,True,9763067042,akash@yashasemployeetranspor.in,Davanagere,USR-211,2024-08-06 22:19:13
CON-000013,Business,ACC-00008,Ashok Reddy,Fleet Manager,False,9422983204,,Bengaluru,USR-204,2023-02-18 18:30:40
CON-000014,Business,ACC-00008,Meghana Joshi,Owner / Director,True,8888888888,meghana@yashascommutesolutions.in,Bengaluru,USR-204,2022-12-12 04:56:18
CON-000015,Business,ACC-00008,Irfan Murthy,Transport Manager,False,6681473254,irfan.murthy@yashascommutesolutions.in,Bengaluru,USR-204,2023-01-28 15:58:43
CON-000016,Business,ACC-00009,Prakash Kulkarni,Admin Head,False,8336948130,prakash.kulkarni@navyaleasingltd.co.in,Bengaluru,USR-216,2021-09-02 10:08:30
CON-000017,Business,ACC-00009,Pooja Naik,Fleet Manager,False,7351785315,pooja@navyaleasingltd.co.in,Bengaluru,USR-216,2021-08-29 08:38:05
CON-000018,Business,ACC-00009,Meghana Chandra,Owner / Director,True,9842286910,meghana.chandra@navyaleasingltd.co.in,Bengaluru,USR-216,2021-06-14 14:06:09
CON-000019,Business,ACC-00009,Madhu Naik,Operations Head,True,83030-825,madhu.naik@navyaleasingltd.co.in,Bengaluru,USR-216,2021-05-27 05:11:22
CON-000020,Business,ACC-00009,Aditya Shetty,Transport Manager,False,8390964519,aditya.shetty@navyaleasingltd.co.in,Bengaluru,USR-216,2021-06-24 07:20:05
CON-000021,Business,ACC-00009,Keerthi Naik,Owner / Director,True,8381428767,keerthi.naik@navyaleasingltd.co.in,Bengaluru,USR-216,2021-05-15 00:48:26
CON-000022,Business,ACC-00009,Ganesh Rao,Transport Manager,False,9783979623,ganesh.rao@navyaleasingltd.co.in,Bengaluru,USR-216,2021-07-23 00:33:59
CON-000023,Business,ACC-00010,Vasanth Poojary,Operations Head,True,8038967906,,Belagavi,USR-216,2023-10-28 16:14:27
CON-000024,Business,ACC-00010,Divya Shenoy,Transport Manager,False,7145604917,divya.shenoy@,Belagavi,USR-216,2023-11-14 18:26:23
CON-000025,Business,ACC-00011,Ananya Gowda,Owner / Director,True,6918578745,ananyanavyaleasingltd.co.in,Hubballi,USR-202,2022-07-29 03:09:18
CON-000026,Business,ACC-00011,Srinivas Jain,Finance Controller,True,7063752570,srinivas@navyaleasingltd.co.in,Hubballi,USR-202,2022-05-18 11:26:28
CON-000027,Business,ACC-00012,Rajesh Joshi,Finance Controller,True,9927381507,rajesh@navyaleasing.in,Bengaluru,USR-216,2022-04-05 00:43:47
CON-000028,Business,ACC-00012,Vani Naik,Transport Manager,False,9722114386,,Bengaluru,USR-216,2022-05-03 00:03:31
CON-000029,Business,ACC-00013,Madhu Gowda,Fleet Manager,False,8227149548,,Belagavi,USR-209,2022-10-02 00:20:09
CON-000030,Business,ACC-00014,Varun Bhat,Facilities Manager,False,8112599129,varun.bhat@navyaleasingltd.co.in,Hubballi,USR-216,2023-11-02 19:41:51
CON-000031,Business,ACC-00015,Mahesh Acharya,Procurement Manager,True,9678639427,mahesh.acharya@navyafleetleasing.com,Bengaluru,USR-204,2023-09-17 19:52:29
CON-000032,Business,ACC-00015,Gautam Iyer,Admin Head,False,8388870201,gautam@navyafleetleasing.com,Bengaluru,USR-204,2023-08-12 22:55:38
CON-000033,Business,ACC-00015,Girish Desai,Operations Head,True,9207591930,girish@navyafleetleasing.com,Bengaluru,USR-204,2023-08-21 15:03:27
CON-000034,Business,ACC-00016,Nayana Singh,Owner / Director,True,8343198182,nayana.singh@vasudhamobilityservice.in,Bengaluru,USR-199,2025-04-17 20:14:12
CON-000035,Business,ACC-00016,Varun Shenoy,Operations Head,True,8260072891,,Bengaluru,USR-199,2025-05-25 17:32:00
CON-000036,Business,ACC-00016,Abhishek Desai,Facilities Manager,False,6764844561,abhishek.desai@vasudhamobilityservice.in,Bengaluru,USR-199,2025-05-20 16:10:00
CON-000037,Business,ACC-00017,Aditi Iyer,Finance Controller,True,6854004470,aditi.iyer@vasudhamobilityservice.in,Udupi,USR-208,2026-01-23 19:38:33
CON-000038,Business,ACC-00017,Sanjay Shenoy,Facilities Manager,False,9430836273,sanjay@vasudhamobilityservice.in,Udupi,USR-208,2026-03-23 17:44:35
CON-000039,Business,ACC-00017,Arjun Prasad,Facilities Manager,False,8461685619,arjun@vasudhamobilityservice.in,Udupi,USR-208,2026-03-28 07:26:53
CON-000040,Business,ACC-00017,Anita Kulkarni,Fleet Manager,False,7965273062,anita@vasudhamobilityservice.in,Udupi,USR-208,2026-03-18 19:25:03
CON-000041,Business,ACC-00018,Anil Rao,Facilities Manager,False,9243867631,anil.rao@vasudhaemployeetranspo.co.in,Shivamogga,USR-208,2026-09-22 00:00:00
CON-000042,Business,ACC-00019,Neha Kini,Owner / Director,True,8456209853,neha@shreebalajicapital.in,Bengaluru,USR-198,2021-09-30 07:05:17
CON-000043,Business,ACC-00019,Amit Khan,Admin Head,False,9981102549,amit.khan@shreebalajicapital.in,Bengaluru,USR-198,2021-10-12 00:31:59
CON-000044,Business,ACC-00020,Pavan Poojary,Admin Head,False,8186215820,pavan.poojary @shreebalajicapital.in,Belagavi,USR-214,2024-06-14 17:21:04
CON-000045,Business,ACC-00021,Neha Shetty,Admin Head,False,8448731878,neha.shetty@shreebalajicapital.in,Hubballi,USR-204,2022-05-26 13:10:39
CON-000046,Business,ACC-00022,Chetan Angadi,Transport Manager,False,7037155281,chetan@shreebalajicapital.in,Davanagere,USR-202,2023-06-18 11:23:51
CON-000047,Business,ACC-00022,Harsha Patil,Owner / Director,True,8180062845,harsha.patil@shreebalajicapital.in,Davanagere,USR-202,2023-05-21 07:10:20
CON-000048,Business,ACC-00023,Rashmi Reddy,Procurement Manager,True,6615367893,rashmi@brindavanselfdrivecars.com,BLR,USR-201,2022-10-01 14:10:48
CON-000049,Business,ACC-00023,Harsha Fernandes,Facilities Manager,False,9948898735,harsha@brindavanselfdrivecars.com,BLR,USR-201,2022-08-05 18:19:42
CON-000050,Business,ACC-00023,Nandini Singh,Admin Head,False,7960528893,nandini.singh@brindavanselfdrivecars.com,BLR,USR-201,2022-11-10 18:37:38
CON-000051,Business,ACC-00023,Madhu Murthy,Operations Head,True,7241777968,madhu@brindavanselfdrivecars.com,BLR,USR-201,2022-10-29 03:25:52
CON-000052,Business,ACC-00024,Gautam Kamath,Procurement Manager,True,8731711389,gautam.kamath@brindavanselfdrivecars.com,Tumakuru,USR-216,2023-09-18 00:16:40
CON-000053,Business,ACC-00025,Ashwini Hiremath,Admin Head,False,9421997771,,Shivamogga,USR-202,2023-03-28 09:20:52
CON-000054,Business,ACC-00026,Vani Iyer,Facilities Manager,False,7918122701,vani@pinnaclesoftwaresoluti.com,Bengaluru,USR-202,2019-01-30 23:51:49
CON-000055,Business,ACC-00026,Shashank Iyer,Fleet Manager,False,7800533733,shashank@pinnaclesoftwaresoluti.com,Bengaluru,USR-202,2018-10-20 07:43:16
CON-000056,Business,ACC-00026,Amit Pinto,Facilities Manager,False,7372189983,amit.pinto@pinnaclesoftwaresoluti.com,Bengaluru,USR-202,2018-12-21 09:17:03
CON-000057,Business,ACC-00027,Kiran Rao,Facilities Manager,False,9499330058,kiran@pinnaclehealthcareprod.com,Bengaluru,USR-202,2019-03-15 18:41:45
CON-000058,Business,ACC-00027,Vasanth Kini,Operations Head,True,6581901453,,Bengaluru,USR-202,2019-04-23 17:59:12
CON-000059,Business,ACC-00027,Arjun Murthy,Procurement Manager,True,9532714887,arjun.murthy@pinnaclehealthcareprod.com,Bengaluru,USR-202,2019-03-31 10:43:57
CON-000060,Business,ACC-00028,Pradeep Reddy,Admin Head,False,9509557842,pradeep@pinnaclesoftwaresoluti.com,Shivamogga,USR-205,2019-10-14 22:44:57
CON-000061,Business,ACC-00028,Girish Hegde,Procurement Manager,True,7292472042,girish.hegde@pinnaclesoftwaresoluti.com,Shivamogga,USR-205,2019-11-02 07:55:31
CON-000062,Business,ACC-00029,Mohan Khan,Finance Controller,True,9418941490,mohan@pinnaclesoftwaresoluti.com,Davanagere,USR-202,2020-03-27 08:13:14
CON-000063,Business,ACC-00029,Suresh Singh,Fleet Manager,False,8372874902,suresh@,Davanagere,USR-202,2020-01-11 11:21:57
CON-000064,Business,ACC-00030,Shruti Pai,Finance Controller,True,0927782309,shruti.pai@nammafinance.co.in,Bengaluru,USR-197,2024-05-24 07:32:14
