UserID,FullName,Role,Channel,OutletID,ManagerUserID,Email,JoinDate,ExitDate,IsActive,MonthlyUnitTarget
USR-001,Shreya Poojary,GM - Sales,Head Office,HQ,,shreya.poojary1@anvayamotors.example,2022-07-10,,True,
USR-002,Ramesh Singh,Sales Ops / MIS Analyst,Head Office,HQ,USR-001,ramesh.singh2@anvayamotors.example,2023-02-25,2024-01-04,False,
USR-003,Vijay Desai,Sales Ops / MIS Analyst,Head Office,HQ,USR-001,vijay.desai3@anvayamotors.example,2024-02-14,2026-01-08,False,
USR-004,Yogesh Hiremath,Sales Ops / MIS Analyst,Head Office,HQ,USR-001,yogesh.hiremath4@anvayamotors.example,2026-01-28,,True,
USR-005,Manjunath Acharya,Sales Ops / MIS Analyst,Head Office,HQ,USR-001,manjunath.acharya5@anvayamotors.example,2023-05-31,,True,
USR-006,Pooja Jain,Outlet Sales Manager,Retail,OUT01,USR-001,pooja.jain6@anvayamotors.example,2022-04-07,2024-03-21,False,
USR-007,Deepa Chandra,Outlet Sales Manager,Retail,OUT01,USR-001,deepa.chandra7@anvayamotors.example,2024-04-11,,True,
USR-008,Sunil Angadi,Sales Team Lead,Retail,OUT01,USR-006,sunil.angadi8@anvayamotors.example,2022-04-28,,True,
USR-009,Pallavi Raju,Sales Consultant,Retail,OUT01,USR-008,pallavi.raju9@anvayamotors.example,2022-05-04,2023-12-27,False,11
USR-010,Meghana D'Souza,Sales Consultant,Retail,OUT01,USR-008,meghana.dsouza10@anvayamotors.example,2024-01-13,2025-05-06,False,13
USR-011,Vani Khan,Sales Consultant,Retail,OUT01,USR-008,vani.khan11@anvayamotors.example,2025-05-12,,True,13
USR-012,Pavan Desai,Sales Consultant,Retail,OUT01,USR-008,pavan.desai12@anvayamotors.example,2023-06-21,2025-04-24,False,13
USR-013,Priya Iyer,Sales Consultant,Retail,OUT01,USR-008,priya.iyer13@anvayamotors.example,2025-04-25,2026-01-28,False,9
USR-014,Pradeep Shenoy,Sales Consultant,Retail,OUT01,USR-008,pradeep.shenoy14@anvayamotors.example,2026-03-07,2026-07-29,False,10
USR-015,Harsha Kini,Sales Consultant,Retail,OUT01,USR-008,harsha.kini15@anvayamotors.example,2026-08-10,,True,8
USR-016,Arjun Angadi,Sales Consultant,Retail,OUT01,USR-008,arjun.angadi16@anvayamotors.example,2023-05-15,2024-06-27,False,11
USR-017,Ashok Naik,Sales Consultant,Retail,OUT01,USR-008,ashok.naik17@anvayamotors.example,2024-07-29,2026-05-13,False,9
USR-018,Anil Kamath,Sales Consultant,Retail,OUT01,USR-008,anil.kamath18@anvayamotors.example,2026-06-10,2026-08-22,False,10
USR-019,Mahesh Sharma,Sales Consultant,Retail,OUT01,USR-008,mahesh.sharma19@anvayamotors.example,2026-08-27,,True,11
USR-020,Swathi Fernandes,Sales Consultant,Retail,OUT01,USR-008,swathi.fernandes20@anvayamotors.example,2022-08-05,2025-03-29,False,12
USR-021,Arun Nair,Sales Consultant,Retail,OUT01,USR-008,arun.nair21@anvayamotors.example,2025-04-30,2025-10-24,False,8
USR-022,Suresh Reddy,Sales Consultant,Retail,OUT01,USR-008,suresh.reddy22@anvayamotors.example,2025-12-04,,True,8
USR-023,Vijay Verma,Sales Consultant,Retail,OUT01,USR-008,vijay.verma23@anvayamotors.example,2022-06-07,2023-10-05,False,11
USR-024,Swathi Fernandes,Sales Consultant,Retail,OUT01,USR-008,swathi.fernandes24@anvayamotors.example,2023-11-08,2024-07-26,False,13
USR-025,Lakshmi Chandra,Sales Consultant,Retail,OUT01,USR-008,lakshmi.chandra25@anvayamotors.example,2024-08-23,,True,12
USR-026,Abhishek Hegde,Sales Consultant,Retail,OUT01,USR-008,abhishek.hegde26@anvayamotors.example,2023-05-04,2024-10-14,False,8
USR-027,Sowmya Joshi,Sales Consultant,Retail,OUT01,USR-008,sowmya.joshi27@anvayamotors.example,2024-11-09,2025-07-03,False,14
USR-028,Mahesh Naik,Sales Consultant,Retail,OUT01,USR-008,mahesh.naik28@anvayamotors.example,2025-07-19,,True,12
USR-029,Joseph Desai,Sales Consultant,Retail,OUT01,USR-008,joseph.desai29@anvayamotors.example,2020-03-30,2024-02-10,False,11
USR-030,Deepak Menon,Sales Consultant,Retail,OUT01,USR-008,deepak.menon30@anvayamotors.example,2024-03-07,2024-04-13,False,14
USR-031,Chaitra Kulkarni,Sales Consultant,Retail,OUT01,USR-008,chaitra.kulkarni31@anvayamotors.example,2024-04-28,2025-02-11,False,9
USR-032,Farhan Rao,Sales Consultant,Retail,OUT01,USR-008,farhan.rao32@anvayamotors.example,2025-03-20,2026-06-20,False,8
USR-033,Sameer Pai,Sales Consultant,Retail,OUT01,USR-008,sameer.pai33@anvayamotors.example,2026-07-15,,True,8
USR-034,Karthik Rao,Sales Consultant,Retail,OUT01,USR-008,karthik.rao34@anvayamotors.example,2020-12-31,2024-06-07,False,9
USR-035,Vinay Iyer,Sales Consultant,Retail,OUT01,USR-008,vinay.iyer35@anvayamotors.example,2024-06-11,2025-03-07,False,9
USR-036,Harish Gowda,Sales Consultant,Retail,OUT01,USR-008,harish.gowda36@anvayamotors.example,2025-04-01,,True,8
USR-037,Yogesh Hegde,Sales Consultant,Retail,OUT01,USR-008,yogesh.hegde37@anvayamotors.example,2023-08-17,2023-12-17,False,8
USR-038,Swathi Pinto,Sales Consultant,Retail,OUT01,USR-008,swathi.pinto38@anvayamotors.example,2024-01-26,2025-01-29,False,13
USR-039,Chetan Agarwal,Sales Consultant,Retail,OUT01,USR-008,chetan.agarwal39@anvayamotors.example,2025-02-13,2026-06-06,False,10
USR-040,Arun Poojary,Sales Consultant,Retail,OUT01,USR-008,arun.poojary40@anvayamotors.example,2026-06-11,,True,10
USR-041,Mithun Hegde,Outlet Sales Manager,Retail,OUT02,USR-001,mithun.hegde41@anvayamotors.example,2023-03-19,2024-03-22,False,
USR-042,Kavya Shetty,Outlet Sales Manager,Retail,OUT02,USR-001,kavya.shetty42@anvayamotors.example,2024-04-26,2026-05-02,False,
USR-043,Vinod Joshi,Outlet Sales Manager,Retail,OUT02,USR-001,vinod.joshi43@anvayamotors.example,2026-05-08,,True,
USR-044,Ashwini Swamy,Sales Team Lead,Retail,OUT02,USR-041,ashwini.swamy44@anvayamotors.example,2023-02-19,2026-06-11,False,
USR-045,Keerthi Shenoy,Sales Team Lead,Retail,OUT02,USR-043,keerthi.shenoy45@anvayamotors.example,2026-07-03,,True,
USR-046,Keerthi Angadi,Sales Consultant,Retail,OUT02,USR-044,keerthi.angadi46@anvayamotors.example,2023-10-20,2024-12-08,False,11
USR-047,Keerthi Joshi,Sales Consultant,Retail,OUT02,USR-044,keerthi.joshi47@anvayamotors.example,2024-12-26,2025-11-02,False,14
