LeadID,CreatedOn,Channel,Source,OutletID,OwnerUserID,LeadName,CompanyName,AccountID,Mobile,Email,City,InterestedProductID,IsExistingCustomer,Status,FirstResponseOn,LastContactedOn,ConvertedOn,OpportunityID
LD-0000001,2023-09-23 00:00:00,Corporate & Fleet,LinkedIn Sales Navigator,OUT08,USR-216,,Navya Car Subscription Services Pvt Ltd,ACC-00010,,,Belagavi,PRD16,False,Converted,2023-09-23 04:25:26,2023-09-25 06:43:04,2023-09-25 06:43:04,OPP-000001
LD-0000002,2023-09-23 00:00:00,Corporate & Fleet,LinkedIn Sales Navigator,OUT08,USR-209,,Sanjeevini Self Drive Cars Pvt Ltd,ACC-00350,,,Hubballi,PRD01,False,Converted,2023-09-23 09:28:50,2023-09-26 01:30:54,2023-09-26 01:30:54,OPP-000002
LD-0000003,2023-09-23 00:00:00,Corporate & Fleet,Cold Call,OUT08,USR-198,,Kadamba Corporate Mobility Pvt Ltd,ACC-00572,,,Bengaluru,PRD03,False,Converted,2023-09-23 04:30:14,2023-10-03 02:07:18,2023-10-03 02:07:18,OPP-000003
LD-0000004,2023-09-23 00:00:00,Corporate & Fleet,Website Inquiry,OUT08,USR-209,,Sapphire Institute of Technology Pvt Ltd,ACC-00688,,,Bengaluru,PRD01,False,Converted,2023-09-23 01:45:13,2023-09-25 06:57:11,2023-09-25 06:57:11,OPP-000004
LD-0000005,2023-09-23 00:00:00,Corporate & Fleet,Corporate Tie-up,OUT08,USR-200,,Amrutha Infotech LLP - Udupi Branch,ACC-00838,,,Udupi,PRD21,False,Converted,2023-09-23 04:17:57,2023-10-06 09:46:21,2023-10-06 09:46:21,OPP-000005
LD-0000006,2023-09-23 00:39:15,Retail,Google Ads,OUT05,USR-135,Bharath Naik,,,8390377158,bharath.naik546@yahoo.co.in,Mysuru,PRD08,False,Lost,2023-09-23 09:41:04,2023-10-06 13:58:43,,
LD-0000007,2023-09-23 03:13:32,Retail,Social Media Ads,OUT05,USR-140,Lakshmi Jain,,,8675290804,lakshmi.jain200@outlook.com,Mysuru,PRD01,False,Unresponsive,2023-09-23 10:00:35,2023-09-26 19:52:18,,
LD-0000008,2023-09-23 04:02:58,Retail,Dealer Website,OUT02,USR-052,Karthik Fernandes,,,7397559348,,Bengaluru,PRD08,False,Lost,2023-09-23 09:58:20,2026-09-24 10:49:20,,
LD-0000009,2023-09-23 04:10:46,Retail,OEM Website Lead,OUT02,USR-057,Shreya Hiremath,,,9356427116,,Bengaluru,PRD14,False,Converted,2023-09-23 09:44:18,2023-09-28 18:22:23,2023-09-28 18:22:23,OPP-000006
LD-0000010,2023-09-23 06:34:41,Retail,Social Media Ads,OUT04,USR-125,Arun Kulkarni,,,6997291150,arun.kulkarni980@gmail.com,Bengaluru,PRD08,False,Lost,2023-09-23 09:59:12,2023-09-24 04:12:09,,
