OpportunityID,OpportunityName,LeadID,Channel,OutletID,AccountID,ContactID,OwnerUserID,LeadSource,CreatedOn,StageNo,Stage,Status,Probability,TotalUnits,EstimatedRevenueINR,ExpectedCloseDate,ActualCloseDate,LastActivityOn,FinanceType,HasExchangeVehicle,IsTender,LostReason
OPP-000001,Navya Car Subscription Services Pvt Ltd - 7x Nexon EV,LD-0000001,Corporate & Fleet,OUT08,ACC-00010,CON-000023,USR-216,LinkedIn Sales Navigator,2023-09-25 06:43:04,7,7-Closed Lost,Lost,0,7,8389522,2023-12-05,2023-11-25,2023-11-25 14:13:45,Corporate Purchase,False,False,Tender Not Awarded
OPP-000002,Sanjeevini Self Drive Cars Pvt Ltd - 2x Tiago Petrol,LD-0000002,Corporate & Fleet,OUT08,ACC-00350,CON-000788,USR-209,LinkedIn Sales Navigator,2023-09-26 01:30:54,7,7-Closed Lost,Lost,0,2,1033743,2023-12-10,2023-10-07,2023-10-07 18:24:46,Corporate Purchase,False,False,Budget Freeze
OPP-000003,Kadamba Corporate Mobility Pvt Ltd - 5x Tiago EV,LD-0000003,Corporate & Fleet,OUT08,ACC-00572,CON-001270,USR-198,Cold Call,2023-10-03 02:07:18,7,7-Closed Lost,Lost,0,5,4516518,2023-12-22,2023-11-08,2023-11-08 08:15:56,Bank Loan,False,False,Competitor Fleet Offer
OPP-000004,Sapphire Institute of Technology Pvt Ltd - 2x Tiago Petrol,LD-0000004,Corporate & Fleet,OUT08,ACC-00688,CON-001498,USR-209,Website Inquiry,2023-09-25 06:57:11,7,7-Closed Lost,Lost,0,2,1529017,2023-11-23,2023-11-23,2023-11-23 16:35:08,Corporate Purchase,False,False,Budget Freeze
OPP-000005,Amrutha Infotech LLP - Udupi Branch - 6x Safari Diesel,LD-0000005,Corporate & Fleet,OUT08,ACC-00838,CON-001848,USR-200,Corporate Tie-up,2023-10-06 09:46:21,7,7-Closed Lost,Lost,0,6,10679801,2024-01-10,2023-12-29,2023-12-29 12:32:55,Bank Loan,False,False,Tender Not Awarded
OPP-000006,Nexon Diesel - Shreya Hiremath,LD-0000009,Retail,OUT02,,CON-009717,USR-057,OEM Website Lead,2023-09-28 18:22:23,6,6-Closed Won,Won,100,1,1239350,2023-10-27,2023-10-21,2023-10-21 05:15:52,Cash,False,False,
OPP-000007,Safari Diesel - Rashmi Desai,LD-0000011,Retail,OUT05,,CON-009718,USR-149,Social Media Ads,2023-09-24 09:18:13,6,6-Closed Won,Won,100,1,1795638,2023-10-25,2023-10-06,2023-10-06 18:05:50,Bank Loan,True,False,
OPP-000008,Nexon EV - Vinay Kini,LD-0000012,Retail,OUT02,,CON-009719,USR-063,Social Media Ads,2023-09-25 08:40:46,6,6-Closed Won,Won,100,1,1479199,2023-10-16,2023-10-30,2023-10-30 00:33:46,OEM Partner Finance,False,False,
OPP-000009,Punch CNG - Mohan Kamath,LD-0000016,Retail,OUT04,,CON-009720,USR-125,Google Ads,2023-09-25 13:14:49,6,6-Closed Won,Won,100,1,650809,2023-10-14,2023-10-31,2023-10-31 09:53:09,Bank Loan,False,False,
OPP-000010,Tiago EV - Rajesh Gowda,LD-0000020,Retail,OUT03,,CON-009721,USR-081,Dealer Website,2023-09-29 09:02:23,7,7-Closed Lost,Lost,0,1,949562,2023-10-19,2023-10-14,2023-10-14 17:15:01,Bank Loan,False,False,Plan Postponed
OPP-000011,Punch Petrol - Mary Singh,LD-0000021,Retail,OUT06,,CON-009722,USR-169,Walk-in,2023-09-28 20:06:34,7,7-Closed Lost,Lost,0,1,574978,2023-10-18,2023-10-05,2023-10-05 13:57:42,Bank Loan,True,False,Bought Competitor - Hyundai
OPP-000012,Tiago Petrol - Chaitra Chandra,LD-0000023,Retail,OUT03,,CON-009723,USR-095,Referral,2023-09-23 15:35:29,6,6-Closed Won,Won,100,1,528909,2023-10-25,2023-10-28,2023-10-28 21:39:55,Cash,False,False,
OPP-000013,Tiago Petrol - Zoya Shenoy,LD-0000024,Retail,OUT02,,CON-009724,USR-057,Walk-in,2023-09-27 20:59:22,6,6-Closed Won,Won,100,1,615122,2023-10-17,2023-11-09,2023-11-09 21:47:26,Bank Loan,False,False,
OPP-000014,Harrier Diesel - Lakshmi Kulkarni,LD-0000025,Retail,OUT05,,CON-009725,USR-143,Walk-in,2023-09-25 12:50:51,7,7-Closed Lost,Lost,0,1,1530878,2023-10-15,2023-09-29,2023-09-29 09:40:35,Bank Loan,False,False,Bought Competitor - Kia
OPP-000015,Tiago Petrol - Rashmi Krishnan,LD-0000026,Retail,OUT07,,CON-009726,USR-185,Walk-in,2023-09-23 14:03:27,7,7-Closed Lost,Lost,0,1,533322,2023-10-24,2023-10-03,2023-10-03 08:15:59,Cash,False,False,Bought Competitor - Maruti Suzuki
OPP-000016,Punch CNG - Chaitra Gowda,LD-0000027,Retail,OUT03,,CON-009727,USR-079,OEM Website Lead,2023-09-29 10:48:18,7,7-Closed Lost,Lost,0,1,807196,2023-10-18,2023-10-05,2023-10-05 11:15:59,Cash,True,False,Bought Competitor - Kia
OPP-000017,Tiago Petrol - Ravi Krishnan,LD-0000028,Retail,OUT01,,CON-009728,USR-023,Dealer Website,2023-09-24 16:50:31,7,7-Closed Lost,Lost,0,1,581519,2023-10-26,2023-10-07,2023-10-07 08:00:07,Bank Loan,False,False,Loan Rejected
OPP-000018,Nexon Diesel - Vijay Nair,LD-0000030,Retail,OUT03,,CON-009729,USR-095,Dealer Website,2023-09-26 15:45:00,7,7-Closed Lost,Lost,0,1,1189324,2023-10-27,2023-10-13,2023-10-13 10:49:40,Bank Loan,False,False,Not Responding
OPP-000019,Tiago CNG - Pavan Gupta,LD-0000031,Retail,OUT01,,CON-009730,USR-012,Car Portal,2023-09-26 20:50:54,7,7-Closed Lost,Lost,0,1,701513,2023-10-28,2023-10-07,2023-10-07 00:24:22,Bank Loan,True,False,Loan Rejected
OPP-000020,Tiago Petrol - Pooja Swamy,LD-0000034,Retail,OUT06,,CON-009731,USR-169,Walk-in,2023-09-23 14:29:55,7,7-Closed Lost,Lost,0,1,573256,2023-10-13,2023-09-29,2023-09-29 21:31:57,Cash,False,False,Price / Discount
OPP-000021,Nexon EV - Priya Gowda,LD-0000035,Retail,OUT07,,CON-009732,USR-186,Walk-in,2023-09-23 15:31:13,6,6-Closed Won,Won,100,1,1500504,2023-10-28,2023-11-26,2023-11-26 11:42:57,Bank Loan,False,False,
OPP-000022,Punch CNG - Srinivas Kamath,LD-0000036,Retail,OUT04,,CON-009733,USR-109,Walk-in,2023-09-23 15:58:23,6,6-Closed Won,Won,100,1,800078,2023-10-14,2023-10-31,2023-10-31 22:12:14,Bank Loan,True,False,
OPP-000023,Punch Petrol - Vani Naik,LD-0000038,Retail,OUT02,,CON-009734,USR-049,Walk-in,2023-09-23 14:44:57,6,6-Closed Won,Won,100,1,655258,2023-10-13,2023-10-24,2023-10-24 19:16:27,Bank Loan,True,False,
OPP-000024,Punch Petrol - Mithun Sharma,LD-0000041,Retail,OUT06,,CON-009735,USR-175,Walk-in,2023-09-28 16:46:18,7,7-Closed Lost,Lost,0,1,711300,2023-10-22,2023-10-08,2023-10-08 22:26:38,Bank Loan,False,False,Loan Rejected
OPP-000025,Nexon Petrol - Vikram Gowda,LD-0000043,Retail,OUT06,,CON-009736,USR-164,Walk-in,2023-09-27 22:37:50,7,7-Closed Lost,Lost,0,1,846388,2023-10-25,2023-09-28,2023-09-28 20:05:36,Bank Loan,True,False,Price / Discount
OPP-000026,Tiago Petrol - Ravi Jain,LD-0000044,Retail,OUT06,,CON-009737,USR-169,Walk-in,2023-09-24 06:07:16,7,7-Closed Lost,Lost,0,1,592828,2023-10-26,2023-09-27,2023-09-27 19:02:08,Bank Loan,True,False,Bought Competitor - Maruti Suzuki
OPP-000027,Nexon Petrol - Ravi Kamath,LD-0000045,Retail,OUT03,,CON-009738,USR-099,Walk-in,2023-09-28 02:46:44,7,7-Closed Lost,Lost,0,1,924750,2023-10-24,2023-10-02,2023-10-02 08:07:03,Bank Loan,True,False,Price / Discount
OPP-000028,Tigor CNG - Srinivas Iyer,LD-0000047,Retail,OUT02,,CON-009739,USR-049,Walk-in,2023-09-23 14:23:26,7,7-Closed Lost,Lost,0,1,762334,2023-10-12,2023-09-26,2023-09-26 17:26:31,OEM Partner Finance,False,False,Bought Competitor - Mahindra
OPP-000029,Harrier Diesel - Vani Angadi,LD-0000048,Retail,OUT07,,CON-009740,USR-180,Walk-in,2023-09-23 15:30:30,7,7-Closed Lost,Lost,0,1,1505688,2023-10-15,2023-09-24,2023-09-24 09:56:25,Cash,True,False,Bought Competitor - Mahindra
OPP-000030,Altroz CNG - Madhu Krishnan,LD-0000049,Retail,OUT06,,CON-009741,USR-175,Walk-in,2023-09-23 15:44:29,7,7-Closed Lost,Lost,0,1,867186,2023-10-18,2023-10-07,2023-10-07 10:55:38,Bank Loan,True,False,Price / Discount
OPP-000031,Punch CNG - Vijay D'Souza,LD-0000050,Retail,OUT01,,CON-009742,USR-026,Referral,2023-09-27 07:16:05,7,7-Closed Lost,Lost,0,1,686209,2023-10-30,2023-09-28,2023-09-28 16:59:57,Bank Loan,True,False,Not Responding
OPP-000032,Punch Petrol - Vijay Iyer,LD-0000053,Retail,OUT06,,CON-009743,USR-175,OEM Website Lead,2023-09-29 10:04:22,7,7-Closed Lost,Lost,0,1,600777,2023-10-26,2023-10-01,2023-10-01 23:50:03,Cash,False,False,Bought Competitor - Maruti Suzuki
OPP-000033,Tiago CNG - Rekha Kamath,LD-0000054,Retail,OUT04,,CON-009744,USR-111,Referral,2023-09-24 21:54:08,7,7-Closed Lost,Lost,0,1,630555,2023-10-13,2023-09-28,2023-09-28 20:16:16,Cash,False,False,Bought Competitor - Kia
OPP-000034,Nexon Diesel - Anjali Kamath,LD-0000055,Retail,OUT05,,CON-009745,USR-140,Walk-in,2023-09-27 18:46:38,6,6-Closed Won,Won,100,1,972650,2023-10-22,2023-10-14,2023-10-14 08:35:57,Cash,True,False,
OPP-000035,Tiago CNG - Prajwal Reddy,LD-0000058,Retail,OUT05,,CON-009746,USR-140,Social Media Ads,2023-09-27 08:51:02,1,1-Enquiry,Open,10,1,661224,2023-10-27,,2023-10-06 08:17:22,Bank Loan,False,False,
OPP-000036,Altroz Petrol - Aarav Kumar,LD-0000060,Retail,OUT02,,CON-009747,USR-052,Walk-in,2023-09-25 12:24:41,1,1-Enquiry,Open,10,1,755690,2023-10-27,,2023-09-26 01:44:19,Cash,False,False,
OPP-000037,Nexon Petrol - Tejas Gupta,LD-0000061,Retail,OUT06,,CON-009748,USR-164,Google Ads,2023-09-24 00:37:59,7,7-Closed Lost,Lost,0,1,957666,2023-10-21,2023-09-28,2023-09-28 15:29:10,OEM Partner Finance,False,False,Plan Postponed
OPP-000038,Tiago CNG - Mithun Poojary,LD-0000063,Retail,OUT04,,CON-009749,USR-113,OEM Website Lead,2023-09-25 22:01:54,7,7-Closed Lost,Lost,0,1,671997,2023-10-16,2023-10-01,2023-10-01 20:38:31,Bank Loan,False,False,Bought Competitor - Mahindra
OPP-000039,Harrier Diesel - Manjunath Agarwal,LD-0000068,Retail,OUT02,,CON-009750,USR-057,Social Media Ads,2023-09-24 11:51:00,7,7-Closed Lost,Lost,0,1,1673624,2023-10-13,2023-09-27,2023-09-27 00:22:17,Bank Loan,False,False,Bought Competitor - Kia
OPP-000040,Punch Petrol - Suma Kamath,LD-0000069,Retail,OUT03,,CON-009751,USR-100,OEM Website Lead,2023-09-26 11:41:40,7,7-Closed Lost,Lost,0,1,601950,2023-10-20,2023-10-01,2023-10-01 19:10:42,Bank Loan,True,False,Bought Competitor - Hyundai
OPP-000041,Tigor CNG - Chaitra Murthy,LD-0000071,Retail,OUT06,,CON-009752,USR-172,Walk-in,2023-09-27 22:49:28,7,7-Closed Lost,Lost,0,1,819817,2023-10-27,2023-10-02,2023-10-02 06:15:10,Cash,False,False,Price / Discount
OPP-000042,Punch Petrol - Srinivas Sharma,LD-0000074,Retail,OUT02,,CON-009753,USR-057,Walk-in,2023-09-23 21:33:51,7,7-Closed Lost,Lost,0,1,702183,2023-10-28,2023-10-02,2023-10-02 01:45:58,Bank Loan,True,False,Bought Competitor - Mahindra
OPP-000043,Tiago Petrol - Swathi Kulkarni,LD-0000078,Retail,OUT02,,CON-009754,USR-057,Walk-in,2023-09-23 23:34:52,7,7-Closed Lost,Lost,0,1,557006,2023-10-15,2023-09-26,2023-09-26 02:29:57,Bank Loan,False,False,Bought Competitor - Maruti Suzuki
OPP-000044,Tiago Petrol - Pradeep Kini,LD-0000080,Retail,OUT01,,CON-009755,USR-034,Referral,2023-09-26 22:46:42,7,7-Closed Lost,Lost,0,1,537449,2023-10-16,2023-09-27,2023-09-27 20:12:31,Bank Loan,False,False,Not Responding
OPP-000045,Tiago Petrol - Imran Babu,LD-0000081,Retail,OUT04,,CON-009756,USR-128,OEM Website Lead,2023-09-26 04:31:58,3,3-Quotation,Open,40,1,639109,2023-10-28,,2023-10-05 22:30:29,Bank Loan,False,False,
